view,base_psnr,base_ssim,base_lpips,old_h1_psnr,old_h1_ssim,old_h1_lpips,delayed_h1_psnr,delayed_h1_ssim,delayed_h1_lpips
00000.png,24.53127670288086,0.8910276293754578,0.1645815670490265,22.854679107666016,0.8751404881477356,0.16711105406284332,25.053081512451172,0.8849682211875916,0.16518771648406982
00001.png,24.948143005371094,0.8868494629859924,0.14316609501838684,25.26796531677246,0.887736439704895,0.14122310280799866,25.776329040527344,0.8887277841567993,0.1453644037246704
00002.png,24.62507438659668,0.9185940027236938,0.1342359185218811,24.89284324645996,0.9188567399978638,0.13542819023132324,24.841508865356445,0.9181521534919739,0.13649579882621765
00003.png,22.357707977294922,0.7958390712738037,0.2666689157485962,22.400171279907227,0.7969419360160828,0.2725294828414917,22.679771423339844,0.7994900941848755,0.2693934440612793
00004.png,24.326168060302734,0.8776775002479553,0.18669083714485168,24.936214447021484,0.880694568157196,0.18275326490402222,24.609390258789062,0.8789241909980774,0.18404142558574677
00005.png,23.855789184570312,0.8706457614898682,0.1874658465385437,23.792823791503906,0.8693360686302185,0.18788090348243713,24.502239227294922,0.8728310465812683,0.18738894164562225
00006.png,22.905067443847656,0.8646293878555298,0.1703113317489624,21.87980842590332,0.8590297698974609,0.17258064448833466,21.63400650024414,0.8587964773178101,0.1751924753189087
00007.png,23.60167694091797,0.8490651249885559,0.1997569501399994,24.003551483154297,0.8527148365974426,0.19833561778068542,23.624359130859375,0.8502072691917419,0.20435437560081482
00008.png,24.794748306274414,0.8589531779289246,0.1954858899116516,23.708396911621094,0.857961118221283,0.19532813131809235,24.661130905151367,0.859614372253418,0.19629892706871033
00009.png,21.812477111816406,0.888827919960022,0.13219261169433594,21.5524959564209,0.8873535990715027,0.12805739045143127,22.58681297302246,0.8929275274276733,0.12748655676841736
00010.png,22.559505462646484,0.8805018663406372,0.18102353811264038,23.061683654785156,0.8688110709190369,0.1786758303642273,22.292205810546875,0.8794634938240051,0.1807348132133484
00011.png,18.885557174682617,0.7137356996536255,0.24177125096321106,20.150774002075195,0.7280895113945007,0.2337321937084198,19.103092193603516,0.721892237663269,0.2373768389225006
00012.png,25.41488265991211,0.9004847407341003,0.19140613079071045,25.14560317993164,0.8998239636421204,0.1803399622440338,25.315521240234375,0.901453971862793,0.18628579378128052
00013.png,24.126136779785156,0.8904054760932922,0.18576598167419434,23.49923324584961,0.8922049403190613,0.18335923552513123,23.18680763244629,0.8908694982528687,0.18255163729190826
00014.png,17.334718704223633,0.7253075242042542,0.2601832449436188,18.426523208618164,0.7290734052658081,0.2541159391403198,18.970495223999023,0.7382787466049194,0.25172746181488037
00015.png,20.930978775024414,0.7392438650131226,0.1909901201725006,20.73980712890625,0.7419676184654236,0.1930389404296875,20.82137680053711,0.739889919757843,0.18718460202217102
00016.png,20.288925170898438,0.711910605430603,0.294625461101532,19.298526763916016,0.7098461389541626,0.29631829261779785,18.427927017211914,0.6894274950027466,0.291160523891449
00017.png,20.359127044677734,0.7024368643760681,0.2688109874725342,20.395509719848633,0.7024151682853699,0.2659275531768799,20.374523162841797,0.7071245908737183,0.2625088393688202
00018.png,19.920747756958008,0.6968370079994202,0.2783917784690857,19.69550132751465,0.6993315815925598,0.2737470269203186,19.75878143310547,0.6983417868614197,0.27856725454330444
00019.png,23.72818946838379,0.8219116926193237,0.18821248412132263,23.127376556396484,0.8229295611381531,0.181086927652359,23.104820251464844,0.8163383603096008,0.18793046474456787
00020.png,20.11334991455078,0.7688207030296326,0.26554012298583984,20.421789169311523,0.7699551582336426,0.26194724440574646,20.65430450439453,0.7665967345237732,0.2716068625450134
00021.png,22.7395076751709,0.8557135462760925,0.18857422471046448,22.78745460510254,0.8551701307296753,0.18568719923496246,22.67574691772461,0.8501399755477905,0.19184541702270508
00022.png,22.32772445678711,0.9153563380241394,0.13350452482700348,23.733339309692383,0.9208181500434875,0.13245567679405212,22.585355758666992,0.9153845906257629,0.13387084007263184
00023.png,23.855159759521484,0.8649601936340332,0.1614990383386612,21.635189056396484,0.8636192679405212,0.15779826045036316,24.130264282226562,0.8631877303123474,0.162075936794281
00024.png,18.338603973388672,0.816901445388794,0.19980919361114502,17.970788955688477,0.8120799660682678,0.20190121233463287,18.194316864013672,0.8155711889266968,0.1956920474767685
00025.png,23.742454528808594,0.8460010886192322,0.13985395431518555,24.098159790039062,0.8493133187294006,0.13695183396339417,24.697772979736328,0.8500140905380249,0.13653108477592468
00026.png,22.185073852539062,0.8236375451087952,0.18069198727607727,22.352285385131836,0.8309362530708313,0.18298040330410004,23.47674560546875,0.8372123837471008,0.1816457211971283
00027.png,21.872047424316406,0.8040884733200073,0.2147429883480072,21.771745681762695,0.8022806644439697,0.2114582657814026,21.68093490600586,0.8047031760215759,0.2131367027759552
00028.png,18.706876754760742,0.7283858060836792,0.21663106977939606,19.495939254760742,0.7450241446495056,0.21063101291656494,19.571773529052734,0.7447710633277893,0.20897170901298523
00029.png,26.26432228088379,0.887365996837616,0.1476069688796997,25.516338348388672,0.886154055595398,0.14908817410469055,26.084224700927734,0.8906580805778503,0.14416876435279846
00030.png,24.059009552001953,0.8253493309020996,0.20003609359264374,23.697078704833984,0.8294439911842346,0.19791892170906067,24.052509307861328,0.8253822922706604,0.19742481410503387
00031.png,27.894533157348633,0.9079903364181519,0.1399383246898651,28.406064987182617,0.9113662838935852,0.135342538356781,28.81521224975586,0.9117750525474548,0.13720281422138214
00032.png,24.251726150512695,0.8793200254440308,0.17163851857185364,23.875539779663086,0.8774305582046509,0.17480313777923584,24.809648513793945,0.8813753128051758,0.16510161757469177
00033.png,15.872721672058105,0.6270191073417664,0.3580873906612396,15.134797096252441,0.6332119703292847,0.3501194715499878,16.280353546142578,0.6421529650688171,0.34281134605407715
00034.png,19.930763244628906,0.8147136569023132,0.22934536635875702,20.209300994873047,0.8141483068466187,0.22681772708892822,19.363414764404297,0.7931839823722839,0.2269444763660431
00035.png,16.14279556274414,0.7883966565132141,0.2864193022251129,16.467052459716797,0.7803472876548767,0.28166353702545166,16.614295959472656,0.7891489863395691,0.2788078188896179
00036.png,23.05861473083496,0.8438991904258728,0.16158974170684814,23.78384017944336,0.8465278148651123,0.16174931824207306,22.99299430847168,0.8399583697319031,0.17045602202415466
00037.png,22.504009246826172,0.8486872911453247,0.19042529165744781,23.191673278808594,0.853287398815155,0.18992511928081512,21.860248565673828,0.8430061340332031,0.19757378101348877
